f;;;;;n;;;;;r;;;;;s;;;;
CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;
0,009;0,008;0,141;0,089;0,456;0,008;0,009;0,048;1,889;0,038;0,001;0,04;0,767;0,0;0,831;0,043;0,05;0,133;0,112;0,309
0,011;0,01;0,383;0,092;0,001;0,009;0,009;0,21;0,112;0,743;0,0;0,001;0,074;0,0;0,164;0,018;0,024;0,193;0,085;1,72
0,009;0,009;107,344;0,124;0,491;0,009;0,008;0,043;0,099;0,001;0,263;0,033;0,034;1,87;0,418;0,011;0,013;0,073;0,101;0,0
0,01;0,009;0,039;0,112;0,001;0,008;0,009;0,12;0,458;0,042;6,591;0,088;2,592;0,039;0,161;0,012;0,01;0,361;0,075;0,001
0,01;0,009;0,039;0,092;0,061;0,009;0,008;0,067;0,105;0,1;0,0;0,198;0,017;8,668;8,548;0,027;0,01;0,114;0,114;0,065
0,01;0,008;0,087;0,448;0,033;0,011;0,009;0,163;0,104;0,001;0,033;0,0;0,075;0,007;1102,923;0,012;0,01;0,318;0,085;0,032
0,025;0,009;0,008;0,2;0,8;0,131;0,009;0,149;0,091;0,015;0,006;0,001;0,085;0,016;16,736;0,009;0,01;0,223;0,079;4,436
0,014;0,01;0,081;0,145;0,001;0,012;0,013;0,168;0,094;0,072;0,115;0,0;1,273;0,012;0,001;0,011;0,012;0,251;0,076;0,001
0,035;0,01;0,116;0,121;0,43;0,008;0,01;0,126;0,128;0,032;0,001;0,034;1,295;0,013;0,0;0,009;0,025;0,337;0,065;0,001
0,013;0,01;0,158;0,096;0,005;0,01;0,009;0,417;0,115;0,001;0,001;0,027;0,0;0,012;6391,869;0,009;0,01;0,015;0,075;0,076
0,011;0,009;0,053;0,085;0,097;0,01;0,009;0,098;0,159;0,082;0,001;0,02;0,001;0,007;0,062;0,009;0,009;0,102;0,115;0,009
0,01;0,011;0,099;0,092;3,202;0,012;0,01;0,007;0,133;2,324;0,001;0,133;0,001;0,023;0,001;0,008;0,01;0,081;0,132;0,023
0,01;0,04;0,103;0,108;0,062;0,057;0,011;0,09;0,099;0,186;0,0;0,0;0,0;0,001;0,033;0,01;0,009;0,213;0,162;0,113
1,285;0,01;0,077;104,244;0,124;0,71;0,01;1,565;0,118;0,007;2,974;0,001;0,001;0,009;12803,765;0,01;0,009;0,08;0,226;1,471
0,012;0,012;0,096;0,109;0,026;0,013;0,07;0,086;0,143;1,54;0,078;0,0;0,158;0,0;6,842;0,016;0,024;0,074;0,102;1,318
0,006;0,007;0,202;0,137;0,013;0,006;0,017;0,24;0,132;0,155;0,002;0,0;0,001;0,0;0,081;0,009;0,013;0,004;0,088;0,49
